FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
,,,Afghanistan,8/23/20 4:27,33.93911,67.709953,37953,1385,28016,8552,Afghanistan,97.49452205,3.649250389
,,,Albania,8/23/20 4:27,41.1533,20.1683,8275,245,4184,3846,Albania,287.5460421,2.960725076
,,,Algeria,8/23/20 4:27,28.0339,1.6596,41068,1424,28874,10770,Algeria,93.65341664,3.467419889
,,,Andorra,8/23/20 4:27,42.5063,1.5218,1045,53,875,117,Andorra,1352.48819,5.071770335
,,,Angola,8/23/20 4:27,-11.2027,17.8739,2134,94,814,1226,Angola,6.492979367,4.404873477
,,,Antigua and Barbuda,8/23/20 4:27,17.0608,-61.7964,94,3,89,2,Antigua and Barbuda,95.9888898,3.191489362
,,,Argentina,8/23/20 4:27,-38.4161,-63.6167,336802,6848,245781,84173,Argentina,745.2067922,2.033242083
,,,Armenia,8/23/20 4:27,40.0691,45.0382,42616,850,35907,5859,Armenia,1438.158444,1.994556035
,,Australian Capital Territory,Australia,8/23/20 4:27,-35.4735,149.0124,113,3,110,0,"Australian Capital Territory, Australia",26.39570194,2.654867257
,,New South Wales,Australia,8/23/20 4:27,-33.8688,151.2093,3985,52,2994,939,"New South Wales, Australia",49.08844543,1.30489335
,,Northern Territory,Australia,8/23/20 4:27,-12.4634,130.8456,33,0,31,2,"Northern Territory, Australia",13.43648208,0
,,Queensland,Australia,8/23/20 4:27,-27.4698,153.0251,1105,6,1082,17,"Queensland, Australia",21.60101652,0.542986425
,,South Australia,Australia,8/23/20 4:27,-34.9285,138.6007,462,4,452,6,"South Australia, Australia",26.30230572,0.865800866
,,Tasmania,Australia,8/23/20 4:27,-42.8821,147.3272,230,13,216,1,"Tasmania, Australia",42.95051354,5.652173913
,,Victoria,Australia,8/23/20 4:27,-37.8136,144.9631,18231,415,13239,4577,"Victoria, Australia",274.9815231,2.276342494
,,Western Australia,Australia,8/23/20 4:27,-31.9505,115.8605,652,9,634,9,"Western Australia, Australia",24.7852201,1.380368098
,,,Austria,8/23/20 4:27,47.5162,14.5501,25062,732,21406,2924,Austria,278.2687866,2.920756524
,,,Azerbaijan,8/23/20 4:27,40.1431,47.5769,35105,515,32842,1748,Azerbaijan,346.2313255,1.467027489
,,,Bahamas,8/23/20 4:27,25.025885,-78.035889,1703,27,221,1455,Bahamas,433.0600537,1.585437463
,,,Bahrain,8/23/20 4:27,26.0275,50.55,49038,183,45589,3266,Bahrain,2881.904673,0.373179983
,,,Bangladesh,8/23/20 4:27,23.685,90.3563,292625,3907,175567,113151,Bangladesh,177.6829779,1.335155916
,,,Barbados,8/23/20 4:27,13.1939,-59.5432,158,7,126,25,Barbados,54.98119156,4.430379747
,,,Belarus,8/23/20 4:27,53.7098,27.9534,70285,637,68577,1071,Belarus,743.8100579,0.906310023
,,,Belgium,8/23/20 4:27,50.8333,4.469936,81468,9988,18204,53276,Belgium,702.939597,12.26002848
,,,Belize,8/23/20 4:27,17.1899,-88.4976,668,6,44,618,Belize,167.9991751,0.898203593
,,,Benin,8/23/20 4:27,9.3077,2.3158,2115,39,1705,371,Benin,17.44589175,1.843971631
,,,Bhutan,8/23/20 4:27,27.5142,90.4336,155,0,112,43,Bhutan,20.08781616,0
,,,Bolivia,8/23/20 4:27,-16.2902,-63.5887,108427,4442,43887,60098,Bolivia,928.8677343,4.096765566
,,,Bosnia and Herzegovina,8/23/20 4:27,43.9159,17.6791,17715,532,11329,5854,Bosnia and Herzegovina,539.9572972,3.003104714
,,,Botswana,8/23/20 4:27,-22.3285,24.6849,1308,3,136,1169,Botswana,55.62111306,0.229357798
,,Acre,Brazil,8/23/20 4:27,-9.0238,-70.812,23665,598,18601,4466,"Acre, Brazil",2683.304325,2.526938517
,,Alagoas,Brazil,8/23/20 4:27,-9.5713,-36.782,75470,1810,69556,4104,"Alagoas, Brazil",2261.3703,2.398303962
,,Amapa,Brazil,8/23/20 4:27,0.902,-52.003,41031,630,29240,11161,"Amapa, Brazil",4851.54263,1.535424435
,,Amazonas,Brazil,8/23/20 4:27,-3.4168,-65.8561,115369,3557,97385,14427,"Amazonas, Brazil",2783.59995,3.083150586
,,Bahia,Brazil,8/23/20 4:27,-12.5797,-41.7007,234204,4832,214261,15111,"Bahia, Brazil",1574.68562,2.063158614
,,Ceara,Brazil,8/23/20 4:27,-5.4984,-39.3206,204587,8286,174087,22214,"Ceara, Brazil",2240.31157,4.050110711
,,Distrito Federal,Brazil,8/23/20 4:27,-15.7998,-47.8645,147127,2257,126804,18066,"Distrito Federal, Brazil",4879.400438,1.534048815
,,Espirito Santo,Brazil,8/23/20 4:27,-19.1834,-40.3089,105613,3016,91548,11049,"Espirito Santo, Brazil",2628.071616,2.855709051
,,Goias,Brazil,8/23/20 4:27,-15.827,-49.8362,115530,2713,106070,6747,"Goias, Brazil",1646.112465,2.348307799
,,Maranhao,Brazil,8/23/20 4:27,-4.9609,-45.2744,143873,3340,131733,8800,"Maranhao, Brazil",2033.488613,2.321491871
,,Mato Grosso,Brazil,8/23/20 4:27,-12.6819,-56.9211,80938,2510,59719,18709,"Mato Grosso, Brazil",2322.823641,3.101139144
,,Mato Grosso do Sul,Brazil,8/23/20 4:27,-20.7722,-54.7852,41888,722,34668,6498,"Mato Grosso do Sul, Brazil",1507.312379,1.723644003
,,Minas Gerais,Brazil,8/23/20 4:27,-18.5122,-44.555,191507,4737,157391,29379,"Minas Gerais, Brazil",904.666686,2.473538826
,,Para,Brazil,8/23/20 4:27,-1.9981,-54.9306,188644,6047,172192,10405,"Para, Brazil",2192.804374,3.205508789
,,Paraiba,Brazil,8/23/20 4:27,-7.24,-36.782,100970,2288,61725,36957,"Paraiba, Brazil",2512.862336,2.26601961
,,Parana,Brazil,8/23/20 4:27,-25.2521,-52.0215,116848,2961,72688,41199,"Parana, Brazil",1021.938424,2.534061345
,,Pernambuco,Brazil,8/23/20 4:27,-8.8137,-36.9541,118027,7364,98667,11996,"Pernambuco, Brazil",1234.970421,6.239250341
,,Piaui,Brazil,8/23/20 4:27,-7.7183,-42.7289,71510,1701,69130,679,"Piaui, Brazil",2184.694187,2.378688295
,,Rio Grande do Norte,Brazil,8/23/20 4:27,-5.4026,-36.9541,59393,2165,37034,20194,"Rio Grande do Norte, Brazil",1693.626736,3.645210715
,,Rio Grande do Sul,Brazil,8/23/20 4:27,-30.0346,-51.2177,108839,3046,98750,7043,"Rio Grande do Sul, Brazil",956.6380736,2.798629168
,,Rio de Janeiro,Brazil,8/23/20 4:27,-22.9068,-43.1729,210464,15267,188731,6466,"Rio de Janeiro, Brazil",1219.025166,7.253972176
,,Rondonia,Brazil,8/23/20 4:27,-11.5057,-63.5806,50995,1061,41786,8148,"Rondonia, Brazil",2869.360942,2.080596137
,,Roraima,Brazil,8/23/20 4:27,-2.7376,-62.0751,41527,579,10625,30323,"Roraima, Brazil",6855.343939,1.394273605
,,Santa Catarina,Brazil,8/23/20 4:27,-27.2423,-50.2189,132008,2027,118958,11023,"Santa Catarina, Brazil",1842.455073,1.535512999
,,Sao Paulo,Brazil,8/23/20 4:27,-23.5505,-46.6333,749244,28392,547197,173655,"Sao Paulo, Brazil",1631.662711,3.789419735
,,Sergipe,Brazil,8/23/20 4:27,-10.5741,-37.3857,70252,1771,59036,9445,"Sergipe, Brazil",3056.167497,2.520924671
,,Tocantins,Brazil,8/23/20 4:27,-10.1753,-48.2982,42839,573,26384,15882,"Tocantins, Brazil",2723.626806,1.337566236
,,,Brunei,8/23/20 4:27,4.5353,114.7277,143,3,139,1,Brunei,32.68698441,2.097902098
,,,Bulgaria,8/23/20 4:27,42.7339,25.4858,15131,539,10282,4310,Bulgaria,217.7609523,3.56222325
,,,Burkina Faso,8/23/20 4:27,12.2383,-1.5616,1297,55,1034,208,Burkina Faso,6.204768458,4.240555127
,,,Burma,8/23/20 4:27,21.9162,95.956,441,6,338,97,Burma,0.810515842,1.360544218
,,,Burundi,8/23/20 4:27,-3.3731,29.9189,429,1,336,92,Burundi,3.607837029,0.233100233
,,,Cabo Verde,8/23/20 4:27,16.5388,-23.0418,3455,37,2538,880,Cabo Verde,621.4162896,1.070911722
,,,Cambodia,8/23/20 4:27,11.55,104.9167,273,0,263,10,Cambodia,1.632875612,0
,,,Cameroon,8/23/20 4:27,3.848,11.5021,18762,408,16540,1814,Cameroon,70.67767694,2.174608251
,,Alberta,Canada,8/23/20 4:27,53.9333,-116.5765,12748,230,11374,1144,"Alberta, Canada",288.8642252,1.804204581
,,British Columbia,Canada,8/23/20 4:27,53.7267,-127.6476,4915,202,3889,824,"British Columbia, Canada",96.16669572,4.109867752
,,Diamond Princess,Canada,8/23/20 4:27,,,0,1,0,,"Diamond Princess, Canada",,
,,Grand Princess,Canada,8/23/20 4:27,,,13,0,13,0,"Grand Princess, Canada",,0
,,Manitoba,Canada,8/23/20 4:27,53.7609,-98.8139,872,12,570,290,"Manitoba, Canada",63.30230407,1.376146789
,,New Brunswick,Canada,8/23/20 4:27,46.5653,-66.4619,188,2,178,8,"New Brunswick, Canada",24.10278041,1.063829787
,,Newfoundland and Labrador,Canada,8/23/20 4:27,53.1355,-57.6604,268,3,265,0,"Newfoundland and Labrador, Canada",51.40352728,1.119402985
,,Northwest Territories,Canada,8/23/20 4:27,64.8255,-124.8457,5,0,5,0,"Northwest Territories,Canada",11.13486549,0
,,Nova Scotia,Canada,8/23/20 4:27,44.682,-63.7443,1078,64,1008,6,"Nova Scotia, Canada",110.2861814,5.936920223
,,Ontario,Canada,8/23/20 4:27,51.2538,-85.3232,43218,2842,39230,1146,"Ontario, Canada",293.7636502,6.575963719
,,Prince Edward Island,Canada,8/23/20 4:27,46.5107,-63.4168,44,0,40,4,"Prince Edward Island, Canada",27.82028098,0
